E_nu/GeV_min,E_nu/GeV_max,Dec_nu_min_deg,Dec_nu_max_deg,A_Eff_cm2
2.4,2.6,-23.58,-21.1,0
2.6,2.8,-23.58,-21.1,0
2.8,3,-23.58,-21.1,0
3,3.2,-23.58,-21.1,0
3.2,3.4,-23.58,-21.1,0
3.4,3.6,-23.58,-21.1,0
3.6,3.8,-23.58,-21.1,0
3.8,4,-23.58,-21.1,0
4,4.2,-23.58,-21.1,0
4.2,4.4,-23.58,-21.1,514.34
4.4,4.6,-23.58,-21.1,2534.6
4.6,4.8,-23.58,-21.1,10828.05
4.8,5,-23.58,-21.1,32193.72
5,5.2,-23.58,-21.1,94147.23
5.2,5.4,-23.58,-21.1,204646.79
5.4,5.6,-23.58,-21.1,486209.43
5.6,5.8,-23.58,-21.1,848349.96
5.8,6,-23.58,-21.1,1412460.08
6,6.2,-23.58,-21.1,2110920.64
6.2,6.4,-23.58,-21.1,3142059.66
6.4,6.6,-23.58,-21.1,4363396.99
6.6,6.8,-23.58,-21.1,5398443.62
6.8,7,-23.58,-21.1,7272828.86
7,7.2,-23.58,-21.1,8800908.24
7.2,7.4,-23.58,-21.1,11530828.84
7.4,7.6,-23.58,-21.1,14294163.68
7.6,7.8,-23.58,-21.1,16513546.51
7.8,8,-23.58,-21.1,20295462.12
8,8.2,-23.58,-21.1,22615122.77
8.2,8.4,-23.58,-21.1,28664204.6
8.4,8.6,-23.58,-21.1,30994601.85
8.6,8.8,-23.58,-21.1,36112318.23
8.8,9,-23.58,-21.1,42901420.8
9,9.2,-23.58,-21.1,0
9.2,9.4,-23.58,-21.1,0
9.4,9.6,-23.58,-21.1,0
9.6,9.8,-23.58,-21.1,0
9.8,10,-23.58,-21.1,0
2,2.2,-21.1,-18.66,0
2.2,2.4,-21.1,-18.66,0
2.4,2.6,-21.1,-18.66,0
2.6,2.8,-21.1,-18.66,0
