E_nu/GeV_min,E_nu/GeV_max,Dec_nu_min_deg,Dec_nu_max_deg,A_Eff_cm2
4.2,4.4,-23.58,-21.1,0
4.4,4.6,-23.58,-21.1,0
4.6,4.8,-23.58,-21.1,1125.52
4.8,5,-23.58,-21.1,2077.89
5,5.2,-23.58,-21.1,8184.66
5.2,5.4,-23.58,-21.1,19605.88
5.4,5.6,-23.58,-21.1,59054.92
5.6,5.8,-23.58,-21.1,138931.53
5.8,6,-23.58,-21.1,312107.04
6,6.2,-23.58,-21.1,611491.01
6.2,6.4,-23.58,-21.1,1131147.44
6.4,6.6,-23.58,-21.1,1673725.89
6.6,6.8,-23.58,-21.1,2445969.75
6.8,7,-23.58,-21.1,3236919.94
7,7.2,-23.58,-21.1,3919590.71
7.2,7.4,-23.58,-21.1,5005779.56
7.4,7.6,-23.58,-21.1,6045672.89
7.6,7.8,-23.58,-21.1,6943815.67
7.8,8,-23.58,-21.1,8294623.57
8,8.2,-23.58,-21.1,8353692.53
8.2,8.4,-23.58,-21.1,8588349.76
8.4,8.6,-23.58,-21.1,8662422.45
8.6,8.8,-23.58,-21.1,8334628.44
8.8,9,-23.58,-21.1,7744917.75
9,9.2,-23.58,-21.1,6266571.27
9.2,9.4,-23.58,-21.1,5323306.43
9.4,9.6,-23.58,-21.1,5600241.17
9.6,9.8,-23.58,-21.1,4590191.9
9.8,10,-23.58,-21.1,3762583.62
2,2.2,-21.1,-18.66,0
2.2,2.4,-21.1,-18.66,0
