E_nu/GeV_min,E_nu/GeV_max,Dec_nu_min_deg,Dec_nu_max_deg,A_Eff_cm2
9.8,10,-26.1,-23.58,0
2,2.2,-23.58,-21.1,0
2.2,2.4,-23.58,-21.1,0
2.4,2.6,-23.58,-21.1,0
2.6,2.8,-23.58,-21.1,0
2.8,3,-23.58,-21.1,0
3,3.2,-23.58,-21.1,0
3.2,3.4,-23.58,-21.1,0
3.4,3.6,-23.58,-21.1,0.99
3.6,3.8,-23.58,-21.1,1.4
3.8,4,-23.58,-21.1,0
4,4.2,-23.58,-21.1,8.17
4.2,4.4,-23.58,-21.1,27.65
4.4,4.6,-23.58,-21.1,105.96
4.6,4.8,-23.58,-21.1,1119.92
4.8,5,-23.58,-21.1,7855.9
5,5.2,-23.58,-21.1,37325.85
5.2,5.4,-23.58,-21.1,117444.09
5.4,5.6,-23.58,-21.1,298131.41
5.6,5.8,-23.58,-21.1,608670.33
5.8,6,-23.58,-21.1,1038791.75
6,6.2,-23.58,-21.1,1746687.82
6.2,6.4,-23.58,-21.1,2496910.84
6.4,6.6,-23.58,-21.1,3566528.96
6.6,6.8,-23.58,-21.1,4753747.6
6.8,7,-23.58,-21.1,6427957.33
7,7.2,-23.58,-21.1,8258415.52
7.2,7.4,-23.58,-21.1,10562889.56
7.4,7.6,-23.58,-21.1,13208092.77
7.6,7.8,-23.58,-21.1,15131845.26
7.8,8,-23.58,-21.1,20104060.47
8,8.2,-23.58,-21.1,24508964.5
8.2,8.4,-23.58,-21.1,28594844.61
8.4,8.6,-23.58,-21.1,33894595.98
8.6,8.8,-23.58,-21.1,40129340.33
8.8,9,-23.58,-21.1,47421998.78
9,9.2,-23.58,-21.1,0
9.2,9.4,-23.58,-21.1,0
9.4,9.6,-23.58,-21.1,0
9.6,9.8,-23.58,-21.1,0
9.8,10,-23.58,-21.1,0
2,2.2,-21.1,-18.66,0
2.2,2.4,-21.1,-18.66,0
